7, 3, 25, 15, 2022252
13, 5, 16, 18, 2022253
0, 8, 24, 24, 2022254
4, 10, 6, 6, 2022255
25, 11, 26, 7, 2022256
10, 13, 0, 13, 2022257
18, 13, 11, 22, 2022258
10, 14, 17, 5, 2022259
1, 0, 16, 0, 2022260
11, 7, 19, 20, 2022261
8, 3, 20, 19, 2022262
19, 6, 22, 14, 2022263
30, 9, 12, 9, 2022264
15, 10, 21, 7, 2022265
16, 15, 28, 20, 2022266
28, 15, 19, 1, 2022267
17, 1, 7, 6, 2022268
17, 11, 13, 25, 2022269
1, 6, 18, 23, 2022270
5, 14, 10, 24, 2022271
1, 9, 26, 2, 2022272
29, 1, 12, 6, 2022273
1, 0, 21, 16, 2022274
28, 4, 23, 17, 2022275
5, 5, 27, 22, 2022276
7, 8, 28, 20, 2022277
28, 9, 14, 9, 2022278
25, 8, 16, 23, 2022279
24, 3, 23, 19, 2022280
18, 8, 24, 4, 2022281
26, 14, 1, 15, 2022282
17, 10, 30, 1, 2022283
19, 11, 21, 10, 2022284
17, 0, 10, 6, 2022285
16, 1, 25, 2, 2022286
10, 0, 26, 23, 2022287
28, 14, 23, 7, 2022288
12, 9, 13, 20, 2022289
9, 10, 5, 14, 2022290
2, 1, 21, 9, 2022291
4, 1, 15, 24, 2022292
0, 1, 6, 7, 2022293
23, 3, 3, 12, 2022294
0, 15, 5, 14, 2022295
4, 11, 16, 24, 2022296
24, 8, 30, 9, 2022297
24, 5, 6, 12, 2022298
10, 1, 22, 22, 2022299
3, 6, 6, 23, 2022300
17, 11, 14, 0, 2022301
28, 11, 20, 16, 2022302
20, 10, 22, 0, 2022303
24, 12, 17, 0, 2022304
18, 3, 21, 9, 2022305
4, 7, 24, 19, 2022306
14, 11, 16, 12, 2022307
20, 0, 22, 16, 2022308
23, 8, 2, 12, 2022309
18, 9, 0, 10, 2022310
2, 7, 23, 23, 2022311
6, 7, 1, 7, 2022312
15, 1, 25, 22, 2022313
2, 5, 6, 5, 2022314
16, 12, 6, 5, 2022315
2, 10, 12, 12, 2022316
2, 14, 18, 8, 2022317
6, 3, 12, 21, 2022318
2, 2, 5, 9, 2022319
12, 0, 13, 14, 2022320
9, 2, 22, 3, 2022321
22, 13, 3, 13, 2022322
23, 1, 26, 24, 2022323
23, 8, 26, 12, 2022324
9, 11, 27, 10, 2022325
1, 10, 10, 20, 2022326
23, 2, 22, 14, 2022327
30, 6, 3, 17, 2022328
4, 3, 14, 11, 2022329
5, 14, 7, 18, 2022330
15, 0, 12, 19, 2022331
9, 6, 26, 11, 2022332
12, 11, 30, 24, 2022333
18, 12, 9, 19, 2022334
21, 11, 15, 0, 2022335
29, 13, 12, 8, 2022336
0, 1, 8, 25, 2022337
28, 7, 26, 0, 2022338
27, 4, 2, 24, 2022339
18, 8, 0, 8, 2022340
4, 1, 30, 17, 2022341
19, 10, 18, 2, 2022342
15, 10, 24, 19, 2022343
4, 15, 25, 12, 2022344
4, 4, 2, 12, 2022345
4, 12, 2, 0, 2022346
28, 9, 18, 21, 2022347
12, 13, 29, 25, 2022348
13, 12, 18, 18, 2022349
25, 3, 20, 0, 2022350
11, 6, 11, 16, 2022351
29, 14, 21, 25, 2022352
18, 7, 29, 14, 2022353
20, 2, 15, 19, 2022354
18, 12, 28, 10, 2022355
17, 10, 2, 6, 2022356
15, 9, 6, 21, 2022357
10, 8, 20, 3, 2022358
30, 5, 0, 20, 2022359
0, 11, 15, 11, 2022360
25, 5, 1, 15, 2022361
7, 12, 12, 9, 2022362
29, 6, 1, 16, 2022363
19, 1, 29, 0, 2022364
7, 2, 28, 14, 2022365
24, 1, 0, 16, 2022366
11, 6, 11, 11, 2022367
28, 2, 3, 11, 2022368
19, 13, 9, 14, 2022369
29, 1, 28, 19, 2022370
