2022739, 93.0, A
2023025, 90.0, A
2022352, 89.0, A
2022748, 89.0, A
2022459, 87.0, A
2022465, 87.0, A
2022784, 86.0, A
2022445, 85.0, A
2022754, 85.0, A
2022398, 83.0, A
2022880, 83.0, A
2023024, 83.0, A
2022849, 82.0, A
2023125, 82.0, A
2022420, 81.0, A
2022498, 81.0, A
2022514, 81.0, A
2022758, 81.0, A
2023169, 81.0, A
2023177, 81.0, A
2023221, 81.0, A
2022474, 80.0, A
2022525, 80.0, A
2022834, 80.0, A
2022896, 80.0, A
2022970, 80.0, A
2023068, 80.0, A
2023243, 80.0, A
2022266, 79.0, A
2022348, 79.0, A
2022593, 79.0, A
2022666, 79.0, A
2022769, 79.0, A
2022772, 79.0, A
2022879, 79.0, A
2022424, 78.0, B
2022734, 78.0, B
2022743, 78.0, B
2022821, 78.0, B
2022892, 78.0, B
2023013, 78.0, B
2023147, 78.0, B
2022333, 77.0, B
2022370, 77.0, B
2022407, 77.0, B
2022472, 77.0, B
2022872, 77.0, B
2022347, 76.0, B
2022531, 76.0, B
2022726, 76.0, B
2023198, 76.0, B
2022302, 75.0, B
2022542, 75.0, B
2022695, 75.0, B
2022919, 75.0, B
2023107, 75.0, B
2023123, 75.0, B
2023222, 75.0, B
2023244, 75.0, B
2022323, 74.0, B
2022688, 74.0, B
2022728, 74.0, B
2022861, 74.0, B
2022908, 74.0, B
2022572, 73.0, B
2022766, 73.0, B
2023080, 73.0, B
2023183, 73.0, B
2022275, 72.0, B
2022279, 72.0, B
2022288, 72.0, B
2022414, 72.0, B
2022451, 72.0, B
2022537, 72.0, B
2022581, 72.0, B
2022667, 72.0, B
2022806, 72.0, B
2022890, 72.0, B
2022959, 72.0, B
2023011, 72.0, B
2023014, 72.0, B
2023114, 72.0, B
2022297, 71.0, B
2022392, 71.0, B
2022416, 71.0, B
2022566, 71.0, B
2022763, 71.0, B
2022863, 71.0, B
2022904, 71.0, B
2022923, 71.0, B
2022963, 71.0, B
2023166, 71.0, B
2022397, 70.0, B
2022425, 70.0, B
2022476, 70.0, B
2022526, 70.0, B
2022610, 70.0, B
2022669, 70.0, B
2022671, 70.0, B
2022691, 70.0, B
2022717, 70.0, B
2022722, 70.0, B
2022898, 70.0, B
2022903, 70.0, B
2022930, 70.0, B
2023016, 70.0, B
2023047, 70.0, B
2023066, 70.0, B
2023187, 70.0, B
2023239, 70.0, B
2022256, 69.0, B
2022280, 69.0, B
2022324, 69.0, B
2022378, 69.0, B
2022436, 69.0, B
2022457, 69.0, B
2022491, 69.0, B
2022505, 69.0, B
2022587, 69.0, B
2022720, 69.0, B
2022808, 69.0, B
2022833, 69.0, B
2023012, 69.0, B
2023137, 69.0, B
2023160, 69.0, B
2023167, 69.0, B
2023206, 69.0, B
2023211, 69.0, B
2023213, 69.0, B
2022343, 68.0, B
2022353, 68.0, B
2022355, 68.0, B
2022373, 68.0, B
2022391, 68.0, B
2022430, 68.0, B
2022490, 68.0, B
2022548, 68.0, B
2022573, 68.0, B
2022596, 68.0, B
2022652, 68.0, B
2022980, 68.0, B
2023023, 68.0, B
2023028, 68.0, B
2023079, 68.0, B
2023180, 68.0, B
2023230, 68.0, B
2023238, 68.0, B
2023248, 68.0, B
2023249, 68.0, B
2022405, 67.0, B
2022406, 67.0, B
2022513, 67.0, B
2022534, 67.0, B
2022604, 67.0, B
2022655, 67.0, B
2022820, 67.0, B
2022945, 67.0, B
2022985, 67.0, B
2023032, 67.0, B
2023197, 67.0, B
2022269, 66.0, B
2022379, 66.0, B
2022380, 66.0, B
2022383, 66.0, B
2022433, 66.0, B
2022618, 66.0, B
2022705, 66.0, B
2022792, 66.0, B
2022894, 66.0, B
2023044, 66.0, B
2023050, 66.0, B
2023097, 66.0, B
2023101, 66.0, B
2023138, 66.0, B
2023157, 66.0, B
2022375, 65.0, B
2022396, 65.0, B
2022435, 65.0, B
2022533, 65.0, B
2022605, 65.0, B
2022619, 65.0, B
2022729, 65.0, B
2022847, 65.0, B
2022884, 65.0, B
2022929, 65.0, B
2022960, 65.0, B
2023075, 65.0, B
2023086, 65.0, B
2023093, 65.0, B
2023140, 65.0, B
2023141, 65.0, B
2023161, 65.0, B
2023186, 65.0, B
2022258, 64.0, B
2022438, 64.0, B
2022489, 64.0, B
2022506, 64.0, B
2022522, 64.0, B
2022552, 64.0, B
2022557, 64.0, B
2022568, 64.0, B
2022595, 64.0, B
2022708, 64.0, B
2022715, 64.0, B
2022779, 64.0, B
2022810, 64.0, B
2022948, 64.0, B
2022968, 64.0, B
2023051, 64.0, B
2023082, 64.0, B
2023208, 64.0, B
2022267, 63.0, C
2022277, 63.0, C
2022313, 63.0, C
2022388, 63.0, C
2022427, 63.0, C
2022454, 63.0, C
2022463, 63.0, C
2022538, 63.0, C
2022609, 63.0, C
2022713, 63.0, C
2022749, 63.0, C
2022787, 63.0, C
2022830, 63.0, C
2022850, 63.0, C
2022877, 63.0, C
2022949, 63.0, C
2023151, 63.0, C
2023188, 63.0, C
2023199, 63.0, C
2023216, 63.0, C
2022336, 62.0, C
2022384, 62.0, C
2022543, 62.0, C
2022555, 62.0, C
2022556, 62.0, C
2022562, 62.0, C
2022644, 62.0, C
2022657, 62.0, C
2022752, 62.0, C
2022803, 62.0, C
2022816, 62.0, C
2022845, 62.0, C
2022851, 62.0, C
2022859, 62.0, C
2022864, 62.0, C
2022878, 62.0, C
